"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Cactin",7.225446587,14.53215582,15.50665397,13.88143905,9.215825404,11.55623666,7.855557694,11.11053846,9.038118529,14.59576573
"Tbxa2r",4.509574256,10.95426635,16.13066232,13.62020164,9.039376065,10.82175231,10.44527712,12.17668644,15.36063528,18.45342018
"Nfic",0.632886566,0.659814009,0.376463384,0.451017554,0.824421029,0.601975223,0.51523103,0.503418335,0.488130052,0.393685791
"S1pr4",52.71389587,92.11367137,83.01507775,87.39012977,104.643762,45.74859051,52.3833689,60.56881915,47.60161597,56.75869211
"Ncln",7.49641831,11.2002616,11.39422971,11.20144005,9.24223113,9.301737485,9.058700135,9.74185254,9.31947697,8.93578734
"Gna15",2.425249078,2.412244354,4.292652162,6.061439236,7.280296344,5.115803948,3.049285288,3.918574634,8.151380173,7.824727084
"Gna11",1.958467915,2.655318655,1.877393651,1.915227359,2.447057506,2.208685868,2.317317372,2.320982446,1.774922824,2.034623112
"Sirt6",1.391928574,1.656306468,2.697407463,1.951357172,2.279942883,3.173481305,2.574970147,3.276852699,1.576363902,2.607737097
"Zfp938",0.464208053,0.752349254,0.678402518,0.873716112,1.290185627,1.091750952,1.2068815,1.150985345,2.22763511,1.310418005
"1190007I07Rik",5.599447727,3.76943248,3.254716898,3.667596319,2.645095494,3.073398916,4.503969947,4.005845982,2.929343177,3.692936607
"Nfyb",3.288079249,4.340144154,3.866762521,4.319863574,5.564293679,3.262427487,2.807414453,4.231609992,4.621296719,5.244059529
"Washc4",3.139578784,2.969016332,1.992860626,2.560875925,2.559591475,2.659889457,2.29077399,2.281687742,1.517709732,1.292583957
"Ckap4",3.408089159,1.96223068,0.241340474,0.093252572,0.101623363,0.375743231,1.146637356,0.48334125,0.032223133,0.049782786
"Tcp11l2",10.45206283,10.52677355,11.95699986,10.15960423,9.99810392,5.782587531,5.917978631,6.348179688,8.560580647,8.663580991
"Cry1",0.817764533,1.084157812,1.26959312,2.167801529,2.418358966,0.716836484,1.128227049,1.083235847,1.315557018,1.167003571
"Tmem263",1.186443359,1.924052345,0.75748908,1.424932287,2.773995298,1.137860242,2.088521619,2.313251595,1.000392872,1.637849796
"Mterf2",2.817122011,1.3518634,1.82122874,1.349373258,2.023091192,1.025284182,0.714315439,1.720701766,2.021419533,1.231214318
"Prdm4",3.053910815,2.225972174,1.757983864,1.973714461,1.746628597,1.284277484,1.890322429,1.727102442,0.850600088,1.546270704
"Rtcb",11.56171135,13.32617775,10.25185765,13.38423764,10.37979347,9.539822824,7.782394962,11.32900975,10.95194449,13.26500184
"Pwp1",1.563124843,1.648598622,1.621065877,1.528233666,1.584351248,1.513489809,1.213906621,1.731064965,1.289018295,1.880758721
"Fbxo7",1.069110519,2.297870449,2.549748767,2.569116228,2.448369594,2.275915042,2.111670275,2.100673078,2.184105419,2.060751131
"Hsp90b1",50.20200391,39.53626643,45.03915861,50.1966459,48.99231055,55.52823124,54.81469091,50.19751969,43.35957345,43.58389598
"1810014B01Rik",0.082725632,0.592960871,0.713039363,0.764801443,1.035771112,1.03636638,1.038035596,0.790399669,1.636146745,0.805134397
"Igf1",1.059187997,0.649028132,0.812224567,0.449127871,0.831758938,2.518760258,2.836368633,0.936608257,2.175304423,0.378723726
"Nup37",0.313022683,0.589857484,0.679503573,0.552255643,0.463119535,0.851251767,0.685079183,0.619367509,0.941462155,0.591025951
"Gnptab",0.930390548,1.561561587,1.088908948,2.38384638,2.1524765,1.281645108,1.613554543,1.981453323,0.921594682,1.303654945
"Spic",22.94932902,13.32318363,19.76066055,7.426361975,12.2668149,47.74670624,47.62052323,13.46635078,43.88520779,9.476288963
"Utp20",0.216065552,0.425114995,0.185955282,0.161811346,0.198250331,0.374940909,0.380538783,0.795728266,0.176636993,0.16036503
"Actr6",1.570349428,1.7150208,1.21575704,2.767454165,2.380159162,1.940585907,2.073688868,2.080956731,2.222107228,2.200427078
"Apaf1",0.542250318,0.477429938,0.308653771,0.436386565,0.568233461,0.801822533,0.933588569,1.123403806,0.571961984,1.246954129
"Tmpo",8.131792067,5.071682453,5.031011201,5.665211875,5.056204255,4.636143591,4.818735023,5.072202399,3.415761398,4.309651923
"Slc25a3",46.24661623,49.62156798,48.16061183,48.91537354,50.78854277,46.43393593,48.53471516,53.63397771,61.12483127,60.62789051
"Nedd1",1.797616229,1.718852047,1.690262262,1.669415647,1.804883528,1.193920078,1.629606157,1.772361029,1.490743469,1.68478863
"Mir1931",3.441386279,0.734142031,0.731803556,6.079440774,4.416773396,0.753721004,2.824422435,0,0.175060969,0.811375749
"Elk3",0.937501249,0.760562595,0.504971098,0.808566124,0.661236026,0.379338524,0.613256891,0.546423734,0.439385943,0.465479755
"Metap2",5.180058555,6.279243917,4.763656342,5.928832688,4.255165406,3.999060513,4.188305216,4.979044968,5.261891493,3.973195964
"Ndufa12",2.838416754,2.542189699,3.096478418,2.732967668,2.9364899,3.075739922,2.991686976,3.364835694,4.485663836,3.9005593
"Nr2c1",0.210219875,0.35698923,0.272642907,0.573597443,0.548063522,0.279440963,0.348936283,0.3868404,0.365493023,0.419670741
"Socs2",1.803500174,1.159005285,1.017593998,2.304093098,2.62443987,7.604423782,7.870631211,7.747111179,11.84557688,10.72253511
"Mrpl42",4.824551326,3.660098856,4.652739912,4.717114348,4.074098706,5.164465223,4.709134653,5.223159663,5.606257946,4.661402812
"Ube2n",4.621130838,3.681994283,3.573942891,4.203281628,4.823088177,4.419530168,4.427369101,4.304224803,5.967093075,4.533876103
"Btg1",234.1106557,208.9243755,150.3687668,131.6003773,132.1159225,152.7203809,160.2932727,182.6758897,112.6140608,122.5253988
"Galnt4",3.666531994,3.330399474,4.346530615,2.025783394,2.77136836,4.578051614,2.906008228,2.14643703,1.457316344,1.71516128
"Dusp6",25.02438899,10.64600751,19.70087684,6.40177318,11.0347606,21.77035254,28.07330446,9.903496912,14.60556803,12.71815769
"Ccdc59",5.942106209,5.519083858,5.485417563,5.362156377,6.925616429,5.84189469,4.976776745,6.009326809,6.292467823,7.71059954
"Bbs10",2.568765168,1.948401874,0.656919099,0.652508033,1.06302904,2.132741214,1.646174799,0.473600362,2.582680384,1.710036261
"Nap1l1",10.13524187,8.016793869,5.490823834,5.188539493,5.373928482,4.799831294,4.474585503,4.041818798,5.360160673,3.927529929
"Phlda1",2.689676691,1.730599853,0.867156206,0.804688691,0.519657096,0.874124741,0.313319404,1.21386634,0.564942516,0.310935689
